epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_anchor,loss_l2,swaption_priced_frac,path_finite_frac,anchor_rmse_bp,recon_rmse_bps,nan_batches,gnorm_lam0,gnorm_scale,lr,lambda0_norm,lambda0_l1,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,lambda0_v1,lambda0_v2,lambda0_v3,lambda0_v4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
10,217.2,19.765,7.562421202659607,4.879101574420929,6.358909726142883,7.781405797491203e-10,1.0,0.880126953125,190.4368290901184,,0,0.0,0.0,0.00011038999999999998,0.0010720830177888274,0.001517623895779252,0.16475196182727814,0.16458256542682648,0.16468070447444916,0.1647682934999466,0.16497628390789032,0.0006082708714529872,-1.8058173736790195e-05,-0.00088259088806808,-8.703871571924537e-06,-107.125,,,,,,,,,
11,239.2,22.001,17.01329344511032,9.195303618907928,5.3936967253685,1.4296055173002031e-09,1.0,0.8779296875,179.63422858715057,,0,0.0,0.0,0.00012037999999999998,0.0014146536123007536,0.0021016914397478104,0.16465404629707336,0.16432307660579681,0.16470135748386383,0.1647152304649353,0.1648765355348587,0.0008089487091638148,-3.164249937981367e-05,-0.0011552684009075165,0.00010583180119283497,-138.325,,,,,,,,,
12,262.4,23.143,7.458702564239502,3.044727712869644,5.074874728918076,2.3957013040032393e-09,1.0,0.87322998046875,166.35523188114166,,0,0.0,0.0,0.00013037,0.001752613577991724,0.0027277362532913685,0.1645340770483017,0.16415365040302277,0.16464658081531525,0.16455812752246857,0.1647779494524002,0.0010564798722043633,-5.717647582059726e-05,-0.0013769558863714337,0.00023712411348242313,-126.875,,,,,,,,,
13,284.8,22.437,9.757023274898529,3.506591647863388,6.018139630556107,3.5181136892603604e-09,1.0,0.87213134765625,187.4175431728363,,0,0.0,0.0,0.00014036,0.0020941493567079306,0.0033335494808852673,0.1642722487449646,0.16391675174236298,0.16450831294059753,0.16413487493991852,0.16452908515930176,0.001304023782722652,-0.00010115781333297491,-0.001602716976776719,0.00032565093715675175,-184.2,,,,,,,,,
14,307.9,23.096,5.347290396690369,8.259208917617798,2.393707200884819,4.9466564178146655e-09,1.0,0.8760986328125,122.9194266796112,,0,0.0,0.0,0.00015035,0.0023914966732263565,0.00381886656396091,0.16403493285179138,0.16369615495204926,0.16470006108283997,0.16371040046215057,0.16403310000896454,0.0014947321033105254,-6.190715066622943e-05,-0.0018102173926308751,0.0004520100192166865,-267.6625,,,,,,,,,
15,328.5,20.626,7.283679962158203,3.687969207763672,1.6596422791481018,5.968263994127199e-09,1.0,0.88580322265625,106.87241566181183,,0,0.0,0.0,0.00016034,0.0025018155574798584,0.004064103122800589,0.16397348046302795,0.16379712522029877,0.16495388746261597,0.16330024600028992,0.16384263336658478,0.0015193080762401223,0.00011023251863662153,-0.0019155238987877965,0.0005190385272726417,-189.8125,,,,,,,,,
16,349.7,21.145,9.571724772453308,4.823580503463745,6.0492212772369385,6.579246258908711e-09,1.0,0.88232421875,182.35156953334808,,0,0.0,0.0,0.00017033,0.002706289291381836,0.004480626899749041,0.1639224886894226,0.1639232188463211,0.1652449667453766,0.16288593411445618,0.16363582015037537,0.0016304577002301812,0.00021212641149759293,-0.002074328251183033,0.0005637145368382335,-192.9625,,,,,,,,,
17,371.1,21.366,6.527104735374451,5.352809727191925,4.118367493152618,7.668520596304518e-09,1.0,0.87744140625,153.92118203639984,,0,0.0,0.0,0.00018032,0.002876423764973879,0.0048849619925022125,0.16384634375572205,0.16413895785808563,0.16554059088230133,0.162350133061409,0.16335569322109222,0.0017667358042672276,0.0003656281915027648,-0.0021606385707855225,0.0005919592222198844,-124.6125,,,,,,,,,
18,391.6,20.589,6.634539842605591,3.9265971779823303,4.516633182764053,8.886358981996523e-09,1.0,0.89208984375,162.48397028446198,,0,0.0,0.0,0.00019031,0.003108338452875614,0.00532537791877985,0.16370077431201935,0.16433662176132202,0.16555500030517578,0.16180402040481567,0.16310745477676392,0.0019516601460054517,0.0004738212446682155,-0.002293625846505165,0.0006062705651856959,-95.35,,,,,,,,,
19,413.3,21.654,8.346016705036163,4.284084767103195,2.5371266305446625,9.68871427531326e-09,1.0,0.8756103515625,125.46410572528839,,0,0.0,0.0,0.00020030000000000002,0.0031058655586093664,0.00545231718569994,0.16362398862838745,0.16464850306510925,0.1656886339187622,0.16134768724441528,0.16281113028526306,0.001913208863697946,0.0006703633698634803,-0.0022775204852223396,0.0005912244087085128,-226.8625,,,,,,,,,
20,433.4,20.105,10.088165700435638,6.0007888078689575,1.4898041784763336,9.78696923503719e-09,1.0,0.89068603515625,111.28505063056946,,0,0.0,0.0,0.00021029,0.003198319813236594,0.005713379941880703,0.16345316171646118,0.16483096778392792,0.16570909321308136,0.16091494262218475,0.1623576432466507,0.0018173629650846124,0.0009287222055718303,-0.0023951015900820494,0.000572193181142211,-170.38750000000002,,,,,,,,,
21,455.0,21.62,21.315650939941406,11.190883725881577,6.002898007631302,1.1018729484391088e-08,1.0,0.87628173828125,171.511941075325,,0,0.0,0.0,0.00022027999999999997,0.0034861313179135323,0.0062828403897583485,0.16328373551368713,0.1650753766298294,0.16573724150657654,0.16075806319713593,0.16156424582004547,0.0017203829484060407,0.001262749545276165,-0.002687837928533554,0.0006118701421655715,-112.0875,,,,,,,,,
22,476.8,21.761,5.953324198722839,7.951497316360474,1.3348263651132584,1.292520779294648e-08,1.0,0.87060546875,106.59632229804993,,0,0.0,0.0,0.00023026999999999998,0.0038184993900358677,0.0068892305716872215,0.16317498683929443,0.16542720794677734,0.1656811237335205,0.16047881543636322,0.16111277043819427,0.0015095612034201622,0.0017143709119409323,-0.0029828425031155348,0.0006824560696259141,-197.35000000000002,,,,,,,,,
23,498.7,21.904,13.732849359512329,5.602253615856171,2.7329094409942627,1.539867611199952e-08,1.0,0.8837890625,126.77092373371124,,0,0.0,0.0,0.00024025999999999998,0.0041526369750499725,0.007558549754321575,0.16300058364868164,0.16559961438179016,0.16569583117961884,0.15972444415092468,0.16098248958587646,0.0013216433580964804,0.001960564637556672,-0.003258503507822752,0.001017838018015027,-27.537499999999994,,,,,,,,,
24,520.5,21.839,7.840072870254517,5.856430947780609,4.869247764348984,1.9077633695019358e-08,1.0,0.875732421875,167.41605401039124,,0,0.0,0.0,0.00025025,0.004599659703671932,0.00842371303588152,0.16263526678085327,0.1655535101890564,0.16576434671878815,0.15866629779338837,0.16055692732334137,0.0012149791000410914,0.0022740389686077833,-0.00354758626781404,0.0013871088158339262,-170.7625,,,,,,,,,
25,542.3,21.774,17.785980463027954,7.132908225059509,4.378452897071838,2.301724721931464e-08,1.0,0.8714599609375,174.89171504974365,,0,0.0,0.0,0.00026023999999999996,0.005076216068118811,0.009266591630876064,0.1624140441417694,0.16545575857162476,0.1662617027759552,0.15783122181892395,0.16010746359825134,0.0010342637542635202,0.0027724546380341053,-0.003756254678592086,0.0017036189092323184,52.537499999999994,,,,,,,,,
26,562.9,20.56,14.74368703365326,8.198013186454773,3.2603700160980225,2.8131217355564786e-08,1.0,0.88812255859375,143.9944816827774,,0,0.0,0.0,0.00027022999999999994,0.0056620193645358086,0.010258857160806656,0.16200576722621918,0.1652350276708603,0.16634593904018402,0.15694551169872284,0.15949662029743195,0.0009350358741357923,0.003222778672352433,-0.0040961094200611115,0.002004933077841997,-127.0875,,,,,,,,,
27,584.4,21.555,12.53629207611084,7.776610612869263,6.857223808765411,3.459059882970905e-08,1.0,0.87713623046875,200.06396412849426,,0,0.0,0.0,0.0002802199999999999,0.006231005769222975,0.011413253843784332,0.16168634593486786,0.16490283608436584,0.1662781536579132,0.1562744379043579,0.15928995609283447,0.0012505275662988424,0.003317324910312891,-0.004611650947481394,0.0022337515838444233,-61.125,,,,,,,,,
28,604.8,20.352,6.681430816650391,4.926214575767517,3.114414244890213,4.161757072296268e-08,1.0,0.88861083984375,132.83337879180908,,0,0.0,0.0,0.00029020999999999995,0.006818661466240883,0.01248822920024395,0.16129913926124573,0.16456735134124756,0.16603891551494598,0.15567073225975037,0.1589195430278778,0.0016693318029865623,0.0033822187688201666,-0.0052375453524291515,0.0021991338580846786,-200.325,,,,,,,,,
29,626.2,21.438,8.625782132148743,6.48634260892868,5.429912507534027,4.9138275670657094e-08,1.0,0.866455078125,192.456240773201,,0,0.0,0.0,0.0003001999999999999,0.00734562985599041,0.013505618087947369,0.16094112396240234,0.16423146426677704,0.1658216118812561,0.1553163081407547,0.15839511156082153,0.0021036663092672825,0.003354682121425867,-0.005741146858781576,0.00230612326413393,-39.8125,,,,,,,,,
30,646.4,20.229,13.374331831932068,6.147088676691055,2.392431765794754,5.6432136297246416e-08,1.0,0.9002685546875,123.28032636642456,,0,0.0,0.0,0.0003101899999999999,0.007822650484740734,0.014484521001577377,0.16069969534873962,0.16401857137680054,0.1659933626651764,0.15489384531974792,0.15789297223091125,0.002495424821972847,0.0032154186628758907,-0.006138851400464773,0.0026348265819251537,-42.775000000000006,,,,,,,,,
31,667.3,20.833,7.265483856201172,4.428922057151794,3.601869523525238,6.406169994477295e-08,1.0,0.8851318359375,142.27561819553375,,0,0.0,0.0,0.0003201799999999999,0.008321265690028667,0.015480096451938152,0.16029059886932373,0.16418911516666412,0.16584469377994537,0.15414178371429443,0.15698683261871338,0.002933213021606207,0.003235591808333993,-0.006502346135675907,0.0028089452534914017,-190.0125,,,,,,,,,
32,688.1,20.824,21.194501399993896,10.60462510585785,4.443287432193756,7.209109753603116e-08,1.0,0.88348388671875,158.7771737575531,,0,0.0,0.0,0.0003301699999999999,0.008758441545069218,0.016424430534243584,0.15971820056438446,0.1648493856191635,0.16523508727550507,0.15311232209205627,0.155676007270813,0.003332748543471098,0.0033349364530295134,-0.006733668968081474,0.0030230761040002108,-204.675,,,,,,,,,
33,709.1,21.004,10.243277847766876,4.65407782793045,3.3475032299757004,8.08989693013018e-08,1.0,0.8887939453125,141.4011069536209,,0,0.0,0.0,0.0003401599999999999,0.009413654915988445,0.017640938982367516,0.1592307686805725,0.16499216854572296,0.16487319767475128,0.15227332711219788,0.15478435158729553,0.003958440385758877,0.003172589698806405,-0.007211127318441868,0.003298781346529722,-55.04999999999999,,,,,,,,,
34,731.1,22.027,5.374997079372406,4.066796779632568,3.0416078567504883,9.317767890593132e-08,1.0,0.87567138671875,139.8850417137146,,0,0.0,0.0,0.0003501499999999999,0.010031899437308311,0.018658166751265526,0.15894177556037903,0.1651676744222641,0.1649366021156311,0.15163491666316986,0.15402789413928986,0.0046733976341784,0.0029612581711262465,-0.007664709351956844,0.0033588018268346786,-194.175,,,,,,,,,
35,752.1,20.965,5.028675675392151,2.755545973777771,5.55878484249115,1.0735849897969274e-07,1.0,0.8922119140625,169.23349380493164,,0,0.0,0.0,0.0003601399999999999,0.01087772287428379,0.020144440233707428,0.1586979329586029,0.16570767760276794,0.1652439832687378,0.15078958868980408,0.1530504822731018,0.005304060410708189,0.003190954914316535,-0.008289975114166737,0.0033594509586691856,-117.53750000000001,,,,,,,,,
36,772.6,20.492,7.920157074928284,6.098219811916351,4.045132160186768,1.246461405202126e-07,1.0,0.8914794921875,148.97499895095825,,0,0.0,0.0,0.00037012999999999993,0.01164819486439228,0.021502133458852768,0.1584097295999527,0.1663472056388855,0.16568304598331451,0.14985203742980957,0.1517566442489624,0.005795132834464312,0.0034691812470555305,-0.008873865008354187,0.0033639539033174515,-158.325,,,,,,,,,
37,793.6,21.067,20.404994130134583,9.183890283107758,4.314101755619049,1.43739203650739e-07,1.0,0.8868408203125,154.47516477108002,,0,0.0,0.0,0.00038011999999999996,0.012461425736546516,0.022934289649128914,0.15802669525146484,0.16664782166481018,0.1661359965801239,0.14897069334983826,0.15035229921340942,0.006303834263235331,0.003583690617233515,-0.009489603340625763,0.0035571616608649492,-185.4375,,,,,,,,,
38,816.3,22.695,4.391721665859222,2.9743172228336334,7.713786363601685,1.605515436153837e-07,1.0,0.88580322265625,201.61326670646667,,0,0.0,0.0,0.00039010999999999994,0.013073469512164593,0.024035092443227768,0.15768006443977356,0.16692577302455902,0.16649051010608673,0.1479567587375641,0.1493472158908844,0.0066672819666564465,0.0036434782668948174,-0.00994513276964426,0.003779199905693531,-157.2625,,,,,,,,,
39,836.4,20.037,6.888356029987335,3.3170348405838013,2.7029590010643005,1.7699302645723947e-07,1.0,0.91046142578125,128.04355704784393,,0,0.0,0.0,0.0004000999999999999,0.013561622239649296,0.02480485662817955,0.1573307067155838,0.16666486859321594,0.16721037030220032,0.14688436686992645,0.1485632210969925,0.0070973969995975494,0.0034583983942866325,-0.010292034596204758,0.003957025241106749,-160.0,,,,,,,,,
40,858.1,21.714,7.11280745267868,3.722618490457535,4.173739433288574,1.8869440765456602e-07,1.0,0.88592529296875,158.63418567180634,,0,0.0,0.0,0.0004100899999999999,0.013946902006864548,0.02516881190240383,0.15698081254959106,0.16625802218914032,0.1681017428636551,0.14556865394115448,0.1479947865009308,0.007512965239584446,0.0030837329104542732,-0.010631859302520752,0.003940253984183073,-175.525,,,,,,,,,
41,879.1,21.01,6.730766177177429,3.351644217967987,3.880709186196327,1.9486661173573339e-07,1.0,0.89849853515625,144.9932075738907,,0,0.0,0.0,0.00042007999999999987,0.013927693478763103,0.02497456781566143,0.1564563363790512,0.165749654173851,0.16844315826892853,0.14428198337554932,0.14735053479671478,0.007506296969950199,0.0027822835836559534,-0.010663831606507301,0.0040221563540399075,-170.575,,,,,,,,,
42,902.2,23.06,5.9146808385849,3.7191593647003174,5.575242072343826,1.9574736498384482e-07,1.0,0.88592529296875,167.2142070531845,,0,0.0,0.0,0.00043006999999999984,0.014159643091261387,0.025269918143749237,0.15567141771316528,0.1659753918647766,0.16801908612251282,0.14279241859912872,0.14589878916740417,0.0076665314845740795,0.002544417278841138,-0.010835498571395874,0.004223468713462353,-153.575,,,,,,,,,
43,923.8,21.632,5.234383046627045,3.2575650811195374,4.9680657386779785,2.0316634063988204e-07,1.0,0.89984130859375,165.41478073596954,,0,0.0,0.0,0.0004400599999999998,0.014350359328091145,0.025470562279224396,0.15521150827407837,0.16660654544830322,0.1683279424905777,0.14147375524044037,0.1444377899169922,0.007839488796889782,0.0022668156307190657,-0.010946066118776798,0.004418190103024244,-105.28750000000001,,,,,,,,,
44,944.5,20.666,7.277971148490906,2.4974579215049744,3.480531722307205,2.085864565515294e-07,1.0,0.903076171875,141.5826746225357,,0,0.0,0.0,0.00045004999999999985,0.014493118040263653,0.025587454438209534,0.15476110577583313,0.16771343350410461,0.16753119230270386,0.1403489112854004,0.14345087110996246,0.008035733364522457,0.0019316127290949225,-0.010952700860798359,0.004667408298701048,-96.475,,,,,,,,,
45,967.3,22.835,8.354307293891907,3.658595860004425,1.5386172533035278,2.1043140918663994e-07,1.0,0.90301513671875,112.50800895690918,,0,0.0,0.0,0.00046003999999999983,0.014420128427445889,0.025615382939577103,0.154326930642128,0.1684560477733612,0.16704681515693665,0.13937531411647797,0.14242954552173615,0.007918545044958591,0.0019500846974551678,-0.010827510617673397,0.004919241648167372,-144.15,,,,,,,,,
46,989.4,22.098,9.43457317352295,6.322718441486359,5.5222965478897095,2.0836774083932141e-07,1.0,0.8974609375,186.22013342380524,,0,0.0,0.0,0.0004700299999999998,0.014296029694378376,0.02585909515619278,0.15406644344329834,0.16972851753234863,0.16747567057609558,0.13853946328163147,0.14052212238311768,0.007497577928006649,0.0023401982616633177,-0.01068880409002304,0.005332515574991703,-167.1,,,,,,,,,
47,1011.8,22.423,9.434856534004211,4.243932515382767,3.5439669489860535,1.9881325030723929e-07,1.0,0.9085693359375,135.3194510936737,,0,0.0,0.0,0.0004800199999999998,0.013955546543002129,0.025998767465353012,0.1537889689207077,0.1715172976255417,0.16727149486541748,0.13726308941841125,0.139103963971138,0.006675477605313063,0.002994801616296172,-0.01015380397439003,0.006174683105200529,-133.04999999999998,,,,,,,,,
48,1036.8,25.026,12.840778768062592,7.833288609981537,4.264461874961853,1.9725042577078966e-07,1.0,0.89239501953125,155.31583762168884,,0,0.0,0.0,0.0004900099999999998,0.01416009571403265,0.02662685513496399,0.15354375541210175,0.17268605530261993,0.16754567623138428,0.13628967106342316,0.137653648853302,0.006305340211838484,0.003163579385727644,-0.009910390712320805,0.007247544825077057,-261.6,,,,,,,,,
49,1057.9,21.05,6.573404610157013,2.8649113476276398,4.885405778884888,2.0108431897369883e-07,1.0,0.894287109375,168.88818681240082,,0,0.0,0.0,0.0005,0.014328687451779842,0.02705485373735428,0.15342611074447632,0.1741953343153,0.1676822304725647,0.13534246385097504,0.13648439943790436,0.005997983273118734,0.0033950682263821363,-0.009789899922907352,0.007871902547776699,-148.4625,,,,,,,,,
50,1079.8,21.904,4.713933169841766,3.727840840816498,4.512890636920929,2.0758613672455795e-07,1.0,0.88372802734375,164.50733637809753,,0,0.0,0.0,0.0004999986332934228,0.014566929079592228,0.02751167118549347,0.15352511405944824,0.17585709691047668,0.16810308396816254,0.13463203608989716,0.1355082392692566,0.005924399942159653,0.0034704015124589205,-0.009745001792907715,0.00837186723947525,-226.64999999999998,,,,,,,,,
51,1100.0,20.214,6.548275798559189,3.18505522608757,3.3554343432188034,2.1734398103490093e-07,1.0,0.890869140625,139.18811857700348,,0,0.0,0.0,0.0004999945331886371,0.014957141131162643,0.02842302992939949,0.1536153107881546,0.1766810417175293,0.16896764934062958,0.13432131707668304,0.1344911903142929,0.005647139623761177,0.004086177330464125,-0.00983290933072567,0.008856802247464657,-171.65,,,,,,,,,
52,1120.2,20.215,15.903365015983582,8.323780998587608,5.394937336444855,2.2367023433389477e-07,1.0,0.88922119140625,176.27545487880707,,0,0.0,0.0,0.0004999876997304812,0.014905045740306377,0.028485072776675224,0.1536724865436554,0.17770233750343323,0.16947397589683533,0.13374343514442444,0.13377022743225098,0.005126955918967724,0.004739271942526102,-0.009513534605503082,0.009105309844017029,-63.0375,,,,,,,,,
53,1141.1,20.83,14.109679102897644,6.298318982124329,4.190899848937988,2.2420183398708105e-07,1.0,0.890869140625,161.5892642736435,,0,0.0,0.0,0.0004999781329936845,0.015131399966776371,0.029080213978886604,0.15341918170452118,0.17767558991909027,0.17017322778701782,0.13297535479068756,0.13285255432128906,0.005257551092654467,0.005115685984492302,-0.009646454825997353,0.00906052254140377,-230.75,,,,,,,,,
54,1163.1,22.091,6.603775173425674,5.671585559844971,3.1121070832014084,2.331363084806526e-07,1.0,0.89141845703125,131.41066539287567,,0,0.0,0.0,0.0004999658330828676,0.015603437088429928,0.03000245988368988,0.15320393443107605,0.17821307480335236,0.17057040333747864,0.132365420460701,0.1316668540239334,0.005689108278602362,0.005092993378639221,-0.010085382498800755,0.009134975261986256,-113.1875,,,,,,,,,
55,1184.7,21.516,4.596108019351959,5.871684372425079,1.370645523071289,2.476551870245203e-07,1.0,0.8892822265625,105.71023404598236,,0,0.0,0.0,0.0004999508001325401,0.016083110123872757,0.030940452590584755,0.15298914909362793,0.17846250534057617,0.17157013714313507,0.1317039430141449,0.13022001087665558,0.0063514262437820435,0.004932916723191738,-0.010464769788086414,0.009191339835524559,-225.1875,,,,,,,,,
56,1203.9,19.223,10.070401787757874,4.70139878988266,2.6752350330352783,2.6810291586798485e-07,1.0,0.89910888671875,129.0484254360199,,0,0.0,0.0,0.0004999330343071,0.016861267387866974,0.03228241205215454,0.15269696712493896,0.1782684028148651,0.1726590096950531,0.13080808520317078,0.12905238568782806,0.007207931485027075,0.004601552151143551,-0.01113184541463852,0.009341081604361534,-139.0125,,,,,,,,,
57,1225.3,21.45,9.431108474731445,4.569178402423859,1.3084453493356705,2.9180099403447457e-07,1.0,0.90106201171875,105.52052617073059,,0,0.0,0.0,0.0004999125358008315,0.017578084021806717,0.03353637829422951,0.1525055468082428,0.17844261229038239,0.17337661981582642,0.12990136444568634,0.12830165028572083,0.0076018027029931545,0.004592780489474535,-0.011759912595152855,0.009581882506608963,-206.92499999999998,,,,,,,,,
58,1248.2,22.819,3.3771170675754547,2.629888117313385,3.0566331148147583,3.225661586725437e-07,1.0,0.88336181640625,140.67160558700562,,0,0.0,0.0,0.000499889304837903,0.01861247420310974,0.03521567955613136,0.15216754376888275,0.17832225561141968,0.17392830550670624,0.12866568565368652,0.12775391340255737,0.008354795165359974,0.0043684570118784904,-0.012760068289935589,0.00973235908895731,-117.7,,,,,,,,,
59,1269.5,21.369,11.815287470817566,8.366082906723022,3.9988900125026703,3.6546634873957373e-07,1.0,0.900634765625,145.81566751003265,,0,0.0,0.0,0.0004998633416723646,0.01999819278717041,0.037189651280641556,0.15158629417419434,0.17692457139492035,0.17461270093917847,0.12755870819091797,0.12724921107292175,0.00954598467797041,0.003664884017780423,-0.013974272646009922,0.01000450924038887,-177.3,,,,,,,,,
60,1289.5,19.986,12.077576577663422,2.9124055206775665,3.7197260558605194,4.170931120484056e-07,1.0,0.89984130859375,153.94235146045685,,0,0.0,0.0,0.0004998346465881452,0.021262185648083687,0.03893405944108963,0.15128228068351746,0.1758333146572113,0.17577534914016724,0.1268053501844406,0.12671515345573425,0.010345536284148693,0.003176947822794318,-0.015163769945502281,0.01024780422449112,-75.5625,,,,,,,,,
61,1310.7,21.209,16.71553635597229,7.858059227466583,4.87066650390625,4.829238733350394e-07,1.0,0.90234375,164.5426332950592,,0,0.0,0.0,0.0004998032198990499,0.023165525868535042,0.04168103635311127,0.15061074495315552,0.17441076040267944,0.1762309968471527,0.12577660381793976,0.12602457404136658,0.011398045346140862,0.002667480381205678,-0.016832860186696053,0.010782649740576744,-84.86250000000001,,,,,,,,,
62,1331.3,20.58,7.82338285446167,2.718532085418701,3.3560850024223328,5.639854805394862e-07,1.0,0.90667724609375,144.2029765844345,,0,0.0,0.0,0.0004997690619487556,0.024642378091812134,0.04408011958003044,0.15018093585968018,0.17369453608989716,0.17637597024440765,0.12497302889823914,0.12568020820617676,0.01223274040967226,0.0027860677801072598,-0.01824311912059784,0.010818193666636944,-145.2125,,,,,,,,,
63,1351.3,19.958,5.248204529285431,1.5018038749694824,2.2845634818077087,6.265582612741127e-07,1.0,0.90594482421875,125.31607627868652,,0,0.0,0.0,0.0004997321731108086,0.025753803551197052,0.046104609966278076,0.1497167944908142,0.17397136986255646,0.1755521595478058,0.12430601567029953,0.12503758072853088,0.012711336836218834,0.003320869756862521,-0.019422395154833794,0.010650007985532284,-114.92500000000001,,,,,,,,,
